p1,p2,p3
2812,722,1288
1417,1441,2127
2174,2614,2615
2174,2613,2614
2617,824,2616
2613,2361,2612
2174,2361,2613
1785,89,1062
2213,1785,1062
838,301,2133
760,2076,624
161,792,358
1916,1752,1552
654,815,1358
815,654,1835
789,623,1202
1414,955,2550
1643,1337,2774
523,2776,1040
2776,1337,799
1344,863,2241
2436,1344,2241
1344,2436,2089
2317,1782,329
1782,96,1840
2393,644,1826
555,644,2393
2106,885,367
2781,436,375
326,908,2900
722,1286,1288
1722,290,1466
1429,2901,1067
1678,2141,495
2141,1678,1603
1706,1652,979
264,2007,1736
1740,1061,1067
1061,1550,1067
2585,1612,2584
1612,2583,2584
2179,1940,1144
1940,2179,2384
842,1940,1977
2592,2593,1416
2595,706,2594
2361,1271,1533
1271,2361,2174
1445,2617,2618
1445,824,2617
824,1077,1731
2602,2603,1637
2603,1725,1637
1725,28,1637
2604,1725,2603
1725,2604,28
28,388,1637
908,196,2900
185,2239,1845
1409,128,604
541,926,97
1614,1720,945
2091,2077,420
452,1065,679
1065,1686,679
2038,2473,2386
2473,2038,338
2038,1685,1048
1685,2038,2386
725,2080,400
2080,2091,420
992,1223,920
2752,735,603
735,2055,603
1806,2055,886
1756,22,1350
1448,1756,1350
1608,2213,1062
2213,1608,2145
1488,2426,1785
89,181,1062
181,782,1062
782,181,982
89,2747,2748
1201,89,1785
2426,1201,1785
2156,1201,2426
1742,2213,2145
1742,1017,387
2551,1414,2550
2551,2552,1414
69,126,819
90,838,2133
90,1837,838
2787,2155,1644
2155,2787,2786
1058,760,624
613,447,1693
588,447,613
1294,161,1552
161,1294,792
792,1162,358
293,1815,146
1815,1546,146
654,1867,1033
1867,447,1033
2033,1916,1552
2033,223,2339
1916,504,1546
2033,504,1916
504,2033,2339
1891,1584,1358
815,1130,1358
1130,1891,1358
1130,815,375
223,658,2339
658,504,2339
658,2135,799
2135,658,223
2548,1890,2547
1890,2548,955
1890,501,623
293,1507,1414
1507,293,146
1001,1046,1340
1024,1001,1340
1321,1386,16
1386,1321,1088
2771,2772,951
2260,2769,951
623,250,1202
501,250,623
2135,2070,799
2070,2135,1279
2773,16,2772
2773,834,16
2775,2776,523
834,2775,523
2775,834,2774
1337,2775,2774
2776,2775,1337
1640,834,523
834,1640,16
442,1321,2072
2166,408,896
1846,1683,1117
1683,1846,1280
180,805,2037
393,180,2037
1220,1650,1117
1650,1846,1117
581,393,2089
1454,50,935
805,354,2037
354,393,2037
1138,1528,2449
1683,720,966
720,699,966
699,1574,966
776,699,143
776,1574,699
865,2701,2702
2703,865,2702
2701,865,2700
865,1475,2700
2465,353,47
2450,992,2200
992,2450,1223
1223,2450,2737
2450,2736,2737
2288,1431,68
1431,96,68
2284,1431,273
2576,77,2575
2345,2579,2261
2576,1335,77
96,2137,1840
94,2707,2708
2707,94,2706
939,481,114
1188,939,114
2391,939,866
939,2391,481
1812,2361,1533
957,1812,1533
2361,1812,2612
1812,2611,2612
2431,741,1482
900,2431,1482
852,900,1482
900,852,840
290,718,1466
859,1571,477
2812,1314,722
2012,2651,2652
2012,2306,1091
2306,2012,2652
2012,1091,2650
2651,2012,2650
374,2408,762
860,887,794
100,1479,811
1479,490,538
1972,550,1790
1307,1397,2273
1164,1007,1196
1007,1164,342
917,1164,664
1164,917,342
2010,2419,102
2007,2240,1736
525,1100,1740
2379,1025,1174
2106,1559,1606
1559,2106,367
1433,1287,2046
2140,1578,1287
1578,2140,688
2369,1578,688
1578,2369,50
676,1429,1067
1550,676,1067
1304,1511,956
1511,1304,1603
1485,2141,1627
1896,737,1443
736,2404,2493
736,2302,2404
1896,2128,2404
2128,1994,2404
1994,2128,909
2128,1896,1443
909,2128,1443
2404,60,2493
1994,60,2404
512,39,1461
1109,1678,495
1109,1706,1678
1109,1652,1706
1652,67,979
1877,880,413
1142,880,1855
1855,880,188
880,1877,188
528,835,728
268,319,1736
2240,268,1736
268,1681,319
704,340,1182
340,280,2045
280,2640,2045
2489,1545,1436
1545,917,664
450,1545,664
2583,1154,2582
1612,1154,2583
2582,1154,2581
2586,2417,2585
1612,284,1248
284,930,1248
284,1612,2585
2417,284,2585
435,284,2587
284,2586,2587
284,2417,2586
777,2599,2600
2599,777,2598
2002,777,2384
777,2002,2598
91,2002,2384
842,2320,1611
2320,842,1977
345,2320,1977
1940,2349,1144
842,2349,1940
1417,2349,1441
2349,842,1441
2593,2074,1416
2074,2593,2594
2074,706,1416
706,2074,2594
2588,435,2587
2588,2589,435
1121,109,2179
2592,1914,2591
1914,174,2591
1914,2592,1416
174,1914,1416
2589,853,435
2179,1081,2384
1081,91,2384
706,1081,2179
2595,1081,706
2596,1081,2595
1081,2596,91
839,918,2335
63,2130,2335
918,1770,2335
1770,63,2335
134,258,1876
2130,258,2335
1063,957,1533
1271,1063,1533
824,31,2616
1271,31,824
31,1271,2174
2616,31,2615
31,2174,2615
2619,218,2618
218,1445,2618
2620,218,2619
579,1077,1378
1219,579,1972
2022,579,1219
579,2022,1077
1445,809,824
809,1077,824
2601,2602,1637
388,1842,1637
1842,388,294
1842,345,1637
345,1842,294
1929,388,28
1929,2391,866
388,1929,294
189,2605,2606
189,1929,28
1929,189,2391
2391,189,481
471,2473,338
314,1580,2119
1833,2448,2167
2283,1351,297
2448,2363,2167
2363,1580,2167
1357,196,908
196,1357,2900
1357,578,2900
578,1357,830
857,326,793
326,857,908
2194,833,604
1423,854,565
465,128,1409
46,465,1409
370,637,2041
233,370,2041
708,370,1180
370,708,2791
637,370,2791
845,46,1409
1993,845,1409
845,233,46
370,845,1993
845,370,233
370,655,1180
655,370,1993
2377,1993,1409
2377,1409,604
833,2377,604
2377,833,670
1704,326,2900
1781,1365,1198
288,1365,716
2327,849,2099
849,2297,2099
849,2327,578
1614,464,1956
464,1614,945
1135,464,945
1147,111,128
465,1147,128
70,1614,1956
1614,70,1278
452,1003,47
85,1003,452
1003,85,2077
1616,85,400
1616,2080,420
2080,1616,400
2077,1616,420
85,1616,2077
649,452,679
444,2572,2573
106,444,2573
2572,444,2571
164,1401,2565
1401,2564,2565
632,1003,2077
889,1686,1048
1685,889,1048
163,427,1862
1686,1131,1048
1131,1228,1048
1131,163,1228
163,1131,427
1065,1131,1686
1131,2278,427
2278,1131,1065
1223,1975,2223
1099,1975,1223
2738,1223,2737
2738,1099,1223
2563,1004,2562
2564,1004,2563
1401,1004,2564
710,1401,1625
710,1004,1401
1133,2191,301
301,2191,2133
137,1146,740
1146,137,273
1431,1146,273
1146,1431,2288
992,1664,2200
735,2753,2754
2752,2753,735
79,886,2528
79,823,98
782,426,1764
426,2752,603
426,782,982
1381,79,98
1381,1806,886
79,1381,886
133,1742,387
1742,133,2213
1427,750,2242
750,361,2242
361,750,1796
641,750,1427
1013,66,22
361,168,2242
168,361,2248
2192,2292,5
2192,1017,2292
1772,782,1764
782,1772,1062
1772,1608,1062
1772,1381,675
1806,1772,1764
1381,1772,1806
2292,714,5
714,594,675
1608,1759,2145
1772,1759,1608
594,1759,675
1759,1772,675
2325,1663,2223
1975,2325,2223
154,2156,2426
1663,154,2426
2156,154,2743
2741,2325,2740
2325,2741,1663
2213,1579,1785
1579,1488,1785
1488,1300,2426
1663,1300,2223
1300,1663,2426
1223,1300,920
1300,1223,2223
181,278,982
278,181,89
278,89,2748
566,2747,89
1201,566,89
934,2156,2743
934,1201,2156
1201,934,2745
1742,2321,1017
1017,2321,2292
2321,714,2292
714,2321,594
2556,1561,126
1561,90,126
90,1561,1837
1837,2356,838
69,1324,126
1324,2556,126
1384,1324,69
2788,2787,1644
2788,314,2119
2155,457,1644
457,654,1033
570,1933,948
2473,1933,2386
1933,2473,2190
2232,1058,624
570,1907,725
2232,1907,1058
592,2080,725
2080,592,613
592,588,613
1565,173,760
447,1434,1033
1434,173,1033
2076,1434,624
1294,1895,792
1895,1162,792
1162,1895,428
1752,2461,1552
2461,1294,1552
1155,2461,1752
1815,1987,819
1987,1815,293
1987,69,819
1698,1155,1752
1916,1698,1752
1698,1916,1546
1815,1698,1546
447,2092,1693
1867,2092,447
781,1867,654
1749,161,358
1749,1638,161
1546,2425,146
504,2425,1546
658,2425,504
2425,1507,146
1507,2425,658
1584,1319,1857
1319,1584,1891
1319,1279,1857
1319,1891,1279
161,200,1552
1638,200,161
200,1638,1358
1584,200,1358
4,1507,658
4,955,1414
1507,4,1414
1988,2135,223
1988,1584,1857
