p1,p2,p3
2003,1367,829
1289,1367,1600
794,1682,2301
1768,64,2154
1765,794,2301
2034,1013,1695
2588,1229,2587
1367,1820,829
1820,1367,1289
1930,1618,524
1540,1777,1574
998,1788,2004
2018,938,429
938,2018,1781
782,398,205
224,1386,832
284,1203,2191
1263,251,362
1792,2328,1395
1037,707,2171
26,49,2451
1241,1411,1577
2653,2654,1399
146,1013,2034
639,1755,695
639,575,2640
575,639,695
1250,951,2303
595,779,1519
779,595,1232
582,595,1558
595,582,1232
1608,2405,474
2436,2331,2224
2405,2436,2224
1608,2436,2405
2688,644,2687
2056,2688,2689
1732,784,1539
2580,2197,2489
2197,1433,2489
1086,2599,2600
1229,780,2190
2588,780,1229
1541,1510,1806
2565,530,2404
2211,2017,522
1903,1367,2003
1903,214,1367
1082,498,926
1400,287,2018
2018,287,74
366,410,2223
956,1289,1600
67,956,1600
995,1793,626
214,2217,1367
1362,2217,1365
2217,1362,1367
2586,487,2485
981,2165,1312
1682,1553,2301
181,2017,794
2017,181,522
249,2089,2625
1739,2624,2625
2089,1739,2625
1392,1739,2089
604,1930,524
1955,1149,1904
2006,1760,500
403,1420,2095
219,1840,2525
105,2512,2513
1660,747,631
747,2501,2502
437,1162,482
1151,1412,1574
1953,1412,1151
1296,2286,1920
1296,1039,2286
786,785,1388
1039,785,2286
785,786,2286
1540,965,1702
965,785,1039
1599,1953,342
1599,1412,1953
616,1642,2004
998,1642,913
1642,998,2004
2066,1432,1660
2128,699,1262
668,2069,2011
1788,2069,2004
1953,2111,342
285,2111,1953
2128,285,1990
2111,285,2128
998,56,2043
2322,623,715
2322,2069,1788
2212,269,671
2212,1302,269
1220,547,671
1220,251,547
724,2549,2550
1035,361,2039
287,2379,577
2546,2547,2360
600,11,782
11,1601,690
1601,11,1040
2541,2542,2413
1658,1037,2171
2534,2535,178
1436,1444,2192
1815,962,2700
962,1815,1036
962,1117,2700
676,2398,684
2495,676,684
1168,1730,2398
676,1168,2398
1386,175,2361
2215,1970,2201
2215,2044,1970
410,2215,2223
2044,2215,410
1263,1864,251
304,2464,1404
2464,36,2227
857,2464,2227
2464,857,1404
645,224,832
2325,2495,684
1792,2325,684
542,615,2033
76,542,2033
542,76,2171
707,542,2171
615,542,707
2152,1093,987
49,1073,2451
827,1073,49
818,2333,1773
2240,2333,959
2333,2240,1773
1250,849,888
2331,432,2224
1407,2376,40
2150,576,1849
576,203,1849
2047,1316,1562
1251,1734,1978
1833,2047,1562
1411,796,1756
72,927,1933
1603,72,1756
72,1603,927
103,2405,2224
432,103,2224
611,146,2034
2651,611,2650
2652,1498,2651
1498,2652,419
1498,611,2651
611,1498,146
146,753,1013
753,1498,419
1498,753,146
50,504,274
1391,2034,1695
1391,1685,2034
1685,1391,2242
1033,2160,1716
575,2639,2640
1537,575,695
1989,951,1755
2340,595,1519
595,2340,1558
1794,276,1716
256,644,2688
2056,256,2688
290,1139,1587
1811,53,1552
1333,256,10
290,1009,10
1271,1516,1961
2467,2579,2489
2579,2580,2489
1433,14,2481
2337,2584,2485
2337,58,1539
761,2197,784
2582,674,2581
674,2580,2581
674,2197,2580
2469,1086,2600
2597,658,2596
658,2597,2598
610,0,1259
1650,610,1806
1442,1881,70
1105,1541,1082
1105,1082,926
1211,1434,2228
1443,626,2562
1443,995,626
2563,1443,2562
1443,2563,995
2564,2565,2404
995,2564,2404
2563,2564,995
898,948,2556
1857,459,647
459,898,647
1457,1974,182
1457,1579,2559
1793,910,626
626,910,2562
910,2561,2562
1974,910,1600
910,1793,1600
2272,42,7
697,2465,1305
2465,358,1305
2414,2211,522
2458,976,1982
417,976,414
1548,176,1580
176,1841,2455
1841,176,1548
214,1402,2455
1903,1402,214
1402,176,2455
1541,1571,1082
1571,498,1082
1571,1541,1806
610,1571,1806
545,988,1586
543,2290,1272
1892,2290,2360
2290,543,2360
2070,1700,1400
2070,2018,429
2070,1400,2018
1700,1709,1400
361,802,2039
1298,802,361
1791,2237,116
1185,2243,1683
917,1302,160
917,824,1683
530,768,2404
768,995,2404
768,1793,995
323,1838,739
2064,1820,1289
2178,2064,1289
1820,2064,829
1838,2064,2178
696,323,739
1891,696,739
1704,1405,1891
714,498,363
457,714,363
2276,1649,2485
487,2276,2485
2276,2401,1649
487,1747,1229
1747,487,2586
1229,1747,2587
1747,2586,2587
2058,662,2250
2165,2199,1499
1734,236,1978
1312,236,1268
236,1734,1268
981,1396,2165
2199,1396,1368
1396,2199,2165
970,1396,981
439,2067,1195
521,439,2130
521,1532,2196
1532,521,2130
150,1553,1682
554,1368,2301
1553,554,2301
777,2067,1842
150,804,1842
2473,1955,2222
1955,2473,1149
2619,1376,2618
2626,249,2625
249,578,2089
1814,1261,2630
1261,2060,2628
2060,1261,1814
249,2060,354
1739,2166,2624
1392,2291,1904
2291,1392,2089
1532,471,2196
629,2134,524
2134,604,524
1527,779,1232
1527,1752,2106
779,1527,260
1527,2106,260
2106,387,260
1930,1156,1618
1156,44,1618
1156,1930,1519
779,462,1519
462,779,260
2257,834,1651
2375,834,2257
2606,1718,2605
1914,1638,1482
2239,2072,1847
225,2121,2430
2006,225,2430
225,2028,2121
225,2006,500
2028,225,500
198,2028,500
244,198,500
2028,2520,2121
2520,2521,2121
2521,838,2121
351,1977,1654
1977,2247,1654
90,407,635
1409,909,2343
351,161,635
161,90,635
90,161,909
2533,2534,178
2432,2533,178
1513,397,1840
397,1513,1854
1901,1136,2523
2524,1901,2523
1901,1854,2430
2121,1901,2430
1136,1901,2121
909,1780,2343
1854,1163,2430
1513,1163,1854
2514,2515,563
2514,105,2513
105,2514,563
563,2516,1758
2515,2516,563
747,1142,631
2503,2504,1581
2095,1921,2433
1455,1921,2095
986,1977,744
1977,986,2247
1377,291,1455
986,291,2247
291,986,1474
2129,2393,482
1162,2129,482
1546,1491,1627
1491,922,1627
1534,1717,1485
1530,2095,2433
1530,579,2095
2286,550,1920
550,579,1920
808,1540,1574
1412,808,1574
1895,2415,2492
1563,1787,1497
1629,1787,1967
2315,1540,1702
964,2315,1702
2315,1777,1540
2080,964,1702
1787,246,1497
246,1787,1629
246,2080,1497
2080,246,964
881,786,1388
881,924,717
2254,264,2216
2254,1296,264
1296,2254,1039
1887,965,1540
965,1887,785
808,1887,1540
1887,808,1412
734,965,1039
16,734,1039
881,1064,924
1599,1064,1412
736,1321,798
1321,736,717
248,1420,403
248,403,798
1321,248,798
248,1760,2308
1420,248,2308
1760,248,500
1737,244,500
244,1737,2013
248,1737,500
1737,248,1321
924,728,717
728,1321,717
728,1737,1321
1737,728,2013
2083,1133,1271
23,1660,631
23,2066,1660
907,1271,1961
1432,907,1961
2066,907,1432
1642,173,913
173,1642,1973
2391,1973,1581
1657,1265,1076
1265,1085,1116
1265,1657,630
993,1265,630
1085,1265,993
105,706,2512
706,105,1800
298,706,1800
706,298,1116
298,1265,1116
2069,41,2004
41,2069,668
1133,41,668
2083,41,1133
38,285,1953
38,1953,1151
1630,56,1076
1630,623,2043
56,1630,2043
1630,854,623
623,1048,2043
2322,1048,623
1048,2322,1788
1048,998,2043
1048,1788,998
2069,1373,2011
2322,1373,2069
1373,2322,715
2011,1373,1358
1373,96,1358
1302,1470,160
2212,1470,1302
77,1907,690
1907,77,2299
1907,2496,690
2496,1907,2299
251,1422,362
1220,1422,251
624,938,1781
724,2551,412
2551,724,2550
125,1892,2360
2547,125,2360
2548,125,2547
1607,2379,1035
1607,1035,2039
802,1607,2039
953,2379,287
2379,953,1035
1035,953,361
1059,543,1272
1908,1059,1272
1059,1908,2545
2546,1059,2545
1059,2546,2360
543,1059,2360
341,1908,1272
2542,1711,2413
2271,398,782
11,2271,782
1658,2271,11
398,2271,2171
2271,1658,2171
940,11,690
940,1658,11
2496,940,690
1658,940,1037
940,2496,89
1037,940,89
2539,2540,423
76,2107,2171
2177,2107,590
2107,398,2171
2107,2177,398
2535,1828,178
398,33,205
2177,33,398
2540,745,423
745,2541,2413
745,2540,2541
2132,2177,590
1576,2132,590
2132,1576,423
745,2132,423
407,1701,1748
1701,2432,178
1701,164,2432
164,1701,1751
1701,90,1751
90,1701,407
1192,1168,1095
1168,1192,1730
1475,1241,1577
570,1821,1095
1168,570,1095
570,1168,676
358,2354,1305
2354,358,1821
1062,1444,1436
1444,1062,284
1266,894,1749
770,1815,2700
1203,770,2700
353,224,2398
353,1386,224
1730,1012,2398
1012,353,2398
1815,1966,1036
1966,1012,1036
1012,1966,254
254,1966,1749
2251,1162,437
175,2251,2361
2406,933,116
933,1791,116
686,2406,116
2237,686,116
1487,645,832
645,1487,2328
1386,135,832
1690,561,2393
2044,561,1970
1970,561,2201
561,1690,2201
247,2215,2201
460,1902,109
2414,460,109
460,697,1305
1902,460,1305
1565,36,2464
304,1565,2464
2328,1565,1395
36,1565,2328
2475,2328,1792
2475,645,2328
645,2475,224
224,2475,2398
2398,2475,684
2475,1792,684
1917,1725,984
1037,2259,707
337,2259,1017
2259,337,707
2059,163,1675
1602,1286,650
667,632,2065
301,1929,1043
1043,2182,2191
1929,2182,1043
609,2110,1768
609,1768,2154
2045,1603,1768
2110,2045,1768
1603,2045,927
2045,2110,927
1783,1310,583
1310,394,807
557,1310,807
1310,557,583
1850,1131,523
145,394,2154
394,145,807
145,1942,807
1942,145,1954
2158,528,204
528,722,1958
464,1786,2330
180,1238,2330
2298,464,2330
1238,2298,2330
13,1964,1114
2671,485,1114
485,13,1114
2390,1328,2675
418,670,987
1093,418,987
1235,418,1093
1089,1235,1552
53,1089,1552
1089,53,57
1089,2450,1235
418,2450,1193
2450,418,1235
1020,2152,987
2152,48,1093
48,825,1093
2676,2390,2675
670,189,987
189,1020,987
1020,189,2390
189,1328,2390
121,1401,541
340,121,541
1073,730,864
730,1073,827
26,1061,49
1665,797,1264
1061,415,49
415,1061,1888
216,2041,1176
2240,2074,1773
1715,748,2105
1466,1026,114
1026,1846,114
1846,1026,193
2661,1643,762
71,2460,1288
183,1406,2160
1033,183,2160
849,377,888
377,849,136
377,183,888
183,377,1406
359,40,1687
359,1407,40
359,81,1407
2376,1986,40
1050,1080,295
1595,1050,851
1050,1595,1080
50,726,504
1833,2373,2047
8,1475,1894
1475,8,1241
558,8,1894
1734,357,1268
357,1734,1251
989,613,820
989,2373,1833
211,1251,1978
989,211,613
1802,1833,1562
1148,1241,1995
1148,1411,1241
454,937,1577
2378,1942,1954
742,1636,94
1636,2133,94
2133,1636,1759
110,1905,64
1768,110,64
1603,110,1768
958,1603,1756
796,958,1756
873,81,1801
81,873,1407
1789,2112,432
303,1288,474
2405,303,474
303,2405,1801
1693,2463,1801
2437,2463,1693
2463,303,1801
2463,2437,1288
303,2463,1288
2652,799,419
799,2653,1399
799,2652,2653
378,2642,2643
1418,639,2640
1391,338,102
80,1391,102
1391,80,2242
1138,80,102
634,1250,2303
634,849,1250
849,634,136
634,1504,136
1685,132,2034
132,901,2650
611,132,2650
132,611,2034
999,409,102
409,1138,102
2648,1685,2242
867,1033,1716
947,1255,1084
1201,1250,888
1201,2480,1250
867,169,1033
2351,951,1250
2480,2351,1250
2638,1537,2637
1537,2638,575
2638,2639,575
1537,1669,2637
1669,2636,2637
2636,1669,892
1669,1537,695
272,760,816
1179,1940,789
951,1573,2303
1989,1573,951
2278,1794,1750
1794,2278,276
484,1505,582
1505,484,1752
582,1505,1232
1505,1527,1232
1527,1505,1752
1406,1644,2160
1794,1644,1750
2436,1644,2331
1644,1406,2331
1614,2436,1608
1614,1644,2436
806,2248,466
2248,53,466
53,2248,57
2248,790,57
1073,729,2451
